,productmodelid,productdescriptionid,cultureid,modifieddate
0,1,1199,en,2013-04-30 00:00:00
1,1,1467,ar,2013-04-30 00:00:00
2,1,1589,fr,2013-04-30 00:00:00
3,1,1712,th,2013-04-30 00:00:00
4,1,1838,he,2013-04-30 00:00:00
5,1,1965,zh-cht,2013-04-30 00:00:00
6,2,1210,en,2013-04-30 00:00:00
7,2,1476,ar,2013-04-30 00:00:00
8,2,1598,fr,2013-04-30 00:00:00
9,2,1721,th,2013-04-30 00:00:00
10,2,1847,he,2013-04-30 00:00:00
11,2,1974,zh-cht,2013-04-30 00:00:00
12,3,1195,en,2013-04-30 00:00:00
13,3,1464,ar,2013-04-30 00:00:00
14,3,1586,fr,2013-04-30 00:00:00
15,3,1709,th,2013-04-30 00:00:00
16,3,1835,he,2013-04-30 00:00:00
17,3,1961,zh-cht,2013-04-30 00:00:00
18,4,1194,en,2013-04-30 00:00:00
19,4,1463,ar,2013-04-30 00:00:00
20,4,1585,fr,2013-04-30 00:00:00
21,4,1708,th,2013-04-30 00:00:00
22,4,1834,he,2013-04-30 00:00:00
23,4,1960,zh-cht,2013-04-30 00:00:00
24,5,647,en,2013-04-30 00:00:00
25,5,1400,ar,2013-04-30 00:00:00
26,5,1605,fr,2013-04-30 00:00:00
27,5,1639,th,2013-04-30 00:00:00
28,5,1768,he,2013-04-30 00:00:00
29,5,1889,zh-cht,2013-04-30 00:00:00
30,6,1090,en,2013-04-30 00:00:00
31,6,1451,ar,2013-04-30 00:00:00
32,6,1573,fr,2013-04-30 00:00:00
33,6,1696,th,2013-04-30 00:00:00
34,6,1827,he,2013-04-30 00:00:00
35,6,1948,zh-cht,2013-04-30 00:00:00
36,7,1182,en,2013-04-30 00:00:00
37,7,1453,ar,2013-04-30 00:00:00
38,7,1575,fr,2013-04-30 00:00:00
39,7,1698,th,2013-04-30 00:00:00
40,7,1829,he,2013-04-30 00:00:00
41,7,1950,zh-cht,2013-04-30 00:00:00
42,8,637,en,2013-04-30 00:00:00
43,8,1397,ar,2013-04-30 00:00:00
44,8,1514,fr,2013-04-30 00:00:00
45,8,1636,th,2013-04-30 00:00:00
46,8,1759,he,2013-04-30 00:00:00
47,8,1886,zh-cht,2013-04-30 00:00:00
48,9,1020,en,2013-04-30 00:00:00
49,9,1449,ar,2013-04-30 00:00:00
50,9,1571,fr,2013-04-30 00:00:00
51,9,1694,th,2013-04-30 00:00:00
52,9,1825,he,2013-04-30 00:00:00
53,9,1946,zh-cht,2013-04-30 00:00:00
54,10,1146,en,2013-04-30 00:00:00
55,10,1452,ar,2013-04-30 00:00:00
56,10,1574,fr,2013-04-30 00:00:00
57,10,1697,th,2013-04-30 00:00:00
58,10,1828,he,2013-04-30 00:00:00
59,10,1949,zh-cht,2013-04-30 00:00:00
60,11,1211,en,2013-04-30 00:00:00
61,11,1477,ar,2013-04-30 00:00:00
62,11,1599,fr,2013-04-30 00:00:00
63,11,1722,th,2013-04-30 00:00:00
64,11,1848,he,2013-04-30 00:00:00
65,11,1975,zh-cht,2013-04-30 00:00:00
66,12,1192,en,2013-04-30 00:00:00
67,12,1461,ar,2013-04-30 00:00:00
68,12,1583,fr,2013-04-30 00:00:00
69,12,1706,th,2013-04-30 00:00:00
70,12,1832,he,2013-04-30 00:00:00
71,12,1958,zh-cht,2013-04-30 00:00:00
72,13,1200,en,2013-04-30 00:00:00
73,13,1468,ar,2013-04-30 00:00:00
74,13,1590,fr,2013-04-30 00:00:00
75,13,1713,th,2013-04-30 00:00:00
76,13,1839,he,2013-04-30 00:00:00
77,13,1966,zh-cht,2013-04-30 00:00:00
78,14,644,en,2013-04-30 00:00:00
79,14,1399,ar,2013-04-30 00:00:00
80,14,1516,fr,2013-04-30 00:00:00
81,14,1638,th,2013-04-30 00:00:00
82,14,1761,he,2013-04-30 00:00:00
83,14,1888,zh-cht,2013-04-30 00:00:00
84,15,642,en,2013-04-30 00:00:00
85,15,1398,ar,2013-04-30 00:00:00
86,15,1515,fr,2013-04-30 00:00:00
87,15,1637,th,2013-04-30 00:00:00
88,15,1760,he,2013-04-30 00:00:00
89,15,1887,zh-cht,2013-04-30 00:00:00
90,16,1062,en,2013-04-30 00:00:00
91,16,1450,ar,2013-04-30 00:00:00
92,16,1572,fr,2013-04-30 00:00:00
93,16,1695,th,2013-04-30 00:00:00
94,16,1826,he,2013-04-30 00:00:00
95,16,1947,zh-cht,2013-04-30 00:00:00
96,17,661,en,2013-04-30 00:00:00
97,17,1401,ar,2013-04-30 00:00:00
98,17,1517,fr,2013-04-30 00:00:00
99,17,1640,th,2013-04-30 00:00:00
100,17,1770,he,2013-04-30 00:00:00
101,17,1890,zh-cht,2013-04-30 00:00:00
102,18,1189,en,2013-04-30 00:00:00
103,18,1459,ar,2013-04-30 00:00:00
104,18,1581,fr,2013-04-30 00:00:00
105,18,1704,th,2013-04-30 00:00:00
106,18,1830,he,2013-04-30 00:00:00
107,18,1956,zh-cht,2013-04-30 00:00:00
108,19,168,en,2013-04-30 00:00:00
109,19,1367,ar,2013-04-30 00:00:00
110,19,1491,fr,2013-04-30 00:00:00
111,19,1613,th,2013-04-30 00:00:00
112,19,1735,he,2013-04-30 00:00:00
113,19,1862,zh-cht,2013-04-30 00:00:00
114,20,128,en,2013-04-30 00:00:00
115,20,1366,ar,2013-04-30 00:00:00
116,20,1490,fr,2013-04-30 00:00:00
117,20,1612,th,2013-04-30 00:00:00
118,20,1734,he,2013-04-30 00:00:00
119,20,1861,zh-cht,2013-04-30 00:00:00
120,21,88,en,2013-04-30 00:00:00
121,21,1365,ar,2013-04-30 00:00:00
122,21,1489,fr,2013-04-30 00:00:00
123,21,1611,th,2013-04-30 00:00:00
124,21,1733,he,2013-04-30 00:00:00
125,21,1860,zh-cht,2013-04-30 00:00:00
126,22,64,en,2013-04-30 00:00:00
127,22,1364,ar,2013-04-30 00:00:00
128,22,1488,fr,2013-04-30 00:00:00
129,22,1610,th,2013-04-30 00:00:00
130,22,1732,he,2013-04-30 00:00:00
131,22,1859,zh-cht,2013-04-30 00:00:00
132,23,8,en,2013-04-30 00:00:00
133,23,1363,ar,2013-04-30 00:00:00
134,23,1487,fr,2013-04-30 00:00:00
135,23,1609,th,2013-04-30 00:00:00
136,23,1731,he,2013-04-30 00:00:00
137,23,1858,zh-cht,2013-04-30 00:00:00
138,24,1208,en,2013-04-30 00:00:00
139,24,1474,ar,2013-04-30 00:00:00
140,24,1596,fr,2013-04-30 00:00:00
141,24,1719,th,2013-04-30 00:00:00
142,24,1845,he,2013-04-30 00:00:00
143,24,1972,zh-cht,2013-04-30 00:00:00
144,25,457,en,2013-04-30 00:00:00
145,25,1377,ar,2013-04-30 00:00:00
146,25,1501,fr,2013-04-30 00:00:00
147,25,1623,th,2013-04-30 00:00:00
148,25,1745,he,2013-04-30 00:00:00
149,25,1872,zh-cht,2013-04-30 00:00:00
150,26,409,en,2013-04-30 00:00:00
151,26,1376,ar,2013-04-30 00:00:00
152,26,1500,fr,2013-04-30 00:00:00
153,26,1622,th,2013-04-30 00:00:00
154,26,1744,he,2013-04-30 00:00:00
155,26,1871,zh-cht,2013-04-30 00:00:00
156,27,376,en,2013-04-30 00:00:00
157,27,1375,ar,2013-04-30 00:00:00
158,27,1499,fr,2013-04-30 00:00:00
159,27,1621,th,2013-04-30 00:00:00
160,27,1743,he,2013-04-30 00:00:00
161,27,1870,zh-cht,2013-04-30 00:00:00
162,28,337,en,2013-04-30 00:00:00
163,28,1373,ar,2013-04-30 00:00:00
164,28,1497,fr,2013-04-30 00:00:00
165,28,1619,th,2013-04-30 00:00:00
166,28,1741,he,2013-04-30 00:00:00
167,28,1868,zh-cht,2013-04-30 00:00:00
168,29,320,en,2013-04-30 00:00:00
169,29,1371,ar,2013-04-30 00:00:00
170,29,1495,fr,2013-04-30 00:00:00
171,29,1617,th,2013-04-30 00:00:00
172,29,1739,he,2013-04-30 00:00:00
173,29,1866,zh-cht,2013-04-30 00:00:00
174,30,249,en,2013-04-30 00:00:00
175,30,1370,ar,2013-04-30 00:00:00
176,30,1494,fr,2013-04-30 00:00:00
177,30,1616,th,2013-04-30 00:00:00
178,30,1738,he,2013-04-30 00:00:00
179,30,1865,zh-cht,2013-04-30 00:00:00
180,31,209,en,2013-04-30 00:00:00
181,31,1369,ar,2013-04-30 00:00:00
182,31,1493,fr,2013-04-30 00:00:00
183,31,1615,th,2013-04-30 00:00:00
184,31,1737,he,2013-04-30 00:00:00
185,31,1864,zh-cht,2013-04-30 00:00:00
186,32,1205,en,2013-04-30 00:00:00
187,32,1472,ar,2013-04-30 00:00:00
188,32,1594,fr,2013-04-30 00:00:00
189,32,1717,th,2013-04-30 00:00:00
190,32,1843,he,2013-04-30 00:00:00
191,32,1970,zh-cht,2013-04-30 00:00:00
192,33,1212,en,2013-04-30 00:00:00
193,33,1478,ar,2013-04-30 00:00:00
194,33,1600,fr,2013-04-30 00:00:00
195,33,1723,th,2013-04-30 00:00:00
196,33,1850,he,2013-04-30 00:00:00
197,33,1976,zh-cht,2013-04-30 00:00:00
198,34,594,en,2013-04-30 00:00:00
199,34,1387,ar,2013-04-30 00:00:00
200,34,1504,fr,2013-04-30 00:00:00
201,34,1626,th,2013-04-30 00:00:00
202,34,1749,he,2013-04-30 00:00:00
203,34,1875,zh-cht,2013-04-30 00:00:00
204,35,554,en,2013-04-30 00:00:00
205,35,1379,ar,2013-04-30 00:00:00
206,35,1503,fr,2013-04-30 00:00:00
207,35,1625,th,2013-04-30 00:00:00
208,35,1748,he,2013-04-30 00:00:00
209,35,1874,zh-cht,2013-04-30 00:00:00
210,36,513,en,2013-04-30 00:00:00
211,36,1378,ar,2013-04-30 00:00:00
212,36,1502,fr,2013-04-30 00:00:00
213,36,1624,th,2013-04-30 00:00:00
214,36,1747,he,2013-04-30 00:00:00
215,36,1873,zh-cht,2013-04-30 00:00:00
216,37,1196,en,2013-04-30 00:00:00
217,37,1465,ar,2013-04-30 00:00:00
218,37,1587,fr,2013-04-30 00:00:00
219,37,1710,th,2013-04-30 00:00:00
220,37,1836,he,2013-04-30 00:00:00
221,37,1963,zh-cht,2013-04-30 00:00:00
222,38,1214,en,2013-04-30 00:00:00
223,38,1480,ar,2013-04-30 00:00:00
224,38,1602,fr,2013-04-30 00:00:00
225,38,1725,th,2013-04-30 00:00:00
226,38,1852,he,2013-04-30 00:00:00
227,38,1978,zh-cht,2013-04-30 00:00:00
228,39,170,en,2013-04-30 00:00:00
229,39,1368,ar,2013-04-30 00:00:00
230,39,1492,fr,2013-04-30 00:00:00
231,39,1614,th,2013-04-30 00:00:00
232,39,1736,he,2013-04-30 00:00:00
233,39,1863,zh-cht,2013-04-30 00:00:00
234,40,321,en,2013-04-30 00:00:00
235,40,1372,ar,2013-04-30 00:00:00
236,40,1496,fr,2013-04-30 00:00:00
237,40,1618,th,2013-04-30 00:00:00
238,40,1740,he,2013-04-30 00:00:00
239,40,1867,zh-cht,2013-04-30 00:00:00
240,41,375,en,2013-04-30 00:00:00
241,41,1374,ar,2013-04-30 00:00:00
242,41,1498,fr,2013-04-30 00:00:00
243,41,1620,th,2013-04-30 00:00:00
244,41,1742,he,2013-04-30 00:00:00
245,41,1869,zh-cht,2013-04-30 00:00:00
246,42,686,en,2013-04-30 00:00:00
247,42,1402,ar,2013-04-30 00:00:00
248,42,1518,fr,2013-04-30 00:00:00
249,42,1641,th,2013-04-30 00:00:00
250,42,1771,he,2013-04-30 00:00:00
251,42,1891,zh-cht,2013-04-30 00:00:00
252,43,873,en,2013-04-30 00:00:00
253,43,1385,ar,2013-04-30 00:00:00
254,43,1551,fr,2013-04-30 00:00:00
255,43,1674,th,2013-04-30 00:00:00
256,43,1805,he,2013-04-30 00:00:00
257,43,1926,zh-cht,2013-04-30 00:00:00
258,44,692,en,2013-04-30 00:00:00
259,44,1408,ar,2013-04-30 00:00:00
260,44,1524,fr,2013-04-30 00:00:00
261,44,1647,th,2013-04-30 00:00:00
262,44,1777,he,2013-04-30 00:00:00
263,44,1897,zh-cht,2013-04-30 00:00:00
264,45,687,en,2013-04-30 00:00:00
265,45,1403,ar,2013-04-30 00:00:00
266,45,1519,fr,2013-04-30 00:00:00
267,45,1642,th,2013-04-30 00:00:00
268,45,1772,he,2013-04-30 00:00:00
269,45,1892,zh-cht,2013-04-30 00:00:00
270,46,688,en,2013-04-30 00:00:00
271,46,1404,ar,2013-04-30 00:00:00
272,46,1520,fr,2013-04-30 00:00:00
273,46,1643,th,2013-04-30 00:00:00
274,46,1773,he,2013-04-30 00:00:00
275,46,1893,zh-cht,2013-04-30 00:00:00
276,47,703,en,2013-04-30 00:00:00
277,47,1415,ar,2013-04-30 00:00:00
278,47,1531,fr,2013-04-30 00:00:00
279,47,1654,th,2013-04-30 00:00:00
280,47,1784,he,2013-04-30 00:00:00
281,47,1905,zh-cht,2013-04-30 00:00:00
282,48,704,en,2013-04-30 00:00:00
283,48,1416,ar,2013-04-30 00:00:00
284,48,1532,fr,2013-04-30 00:00:00
285,48,1655,th,2013-04-30 00:00:00
286,48,1785,he,2013-04-30 00:00:00
287,48,1906,zh-cht,2013-04-30 00:00:00
288,49,689,en,2013-04-30 00:00:00
289,49,1405,ar,2013-04-30 00:00:00
290,49,1521,fr,2013-04-30 00:00:00
291,49,1644,th,2013-04-30 00:00:00
292,49,1774,he,2013-04-30 00:00:00
293,49,1894,zh-cht,2013-04-30 00:00:00
294,50,690,en,2013-04-30 00:00:00
295,50,1406,ar,2013-04-30 00:00:00
296,50,1522,fr,2013-04-30 00:00:00
297,50,1645,th,2013-04-30 00:00:00
298,50,1775,he,2013-04-30 00:00:00
299,50,1895,zh-cht,2013-04-30 00:00:00
300,51,691,en,2013-04-30 00:00:00
301,51,1407,ar,2013-04-30 00:00:00
302,51,1523,fr,2013-04-30 00:00:00
303,51,1646,th,2013-04-30 00:00:00
304,51,1776,he,2013-04-30 00:00:00
305,51,1896,zh-cht,2013-04-30 00:00:00
306,52,697,en,2013-04-30 00:00:00
307,52,1409,ar,2013-04-30 00:00:00
308,52,1525,fr,2013-04-30 00:00:00
309,52,1648,th,2013-04-30 00:00:00
310,52,1778,he,2013-04-30 00:00:00
311,52,1898,zh-cht,2013-04-30 00:00:00
312,53,853,en,2013-04-30 00:00:00
313,53,1426,ar,2013-04-30 00:00:00
314,53,1542,fr,2013-04-30 00:00:00
315,53,1665,th,2013-04-30 00:00:00
316,53,1795,he,2013-04-30 00:00:00
317,53,1916,zh-cht,2013-04-30 00:00:00
318,54,698,en,2013-04-30 00:00:00
319,54,1410,ar,2013-04-30 00:00:00
320,54,1526,fr,2013-04-30 00:00:00
321,54,1649,th,2013-04-30 00:00:00
322,54,1779,he,2013-04-30 00:00:00
323,54,1899,zh-cht,2013-04-30 00:00:00
324,55,699,en,2013-04-30 00:00:00
325,55,1411,ar,2013-04-30 00:00:00
326,55,1527,fr,2013-04-30 00:00:00
327,55,1650,th,2013-04-30 00:00:00
328,55,1780,he,2013-04-30 00:00:00
329,55,1900,zh-cht,2013-04-30 00:00:00
330,56,700,en,2013-04-30 00:00:00
331,56,1412,ar,2013-04-30 00:00:00
332,56,1528,fr,2013-04-30 00:00:00
333,56,1651,th,2013-04-30 00:00:00
334,56,1781,he,2013-04-30 00:00:00
335,56,1901,zh-cht,2013-04-30 00:00:00
336,57,701,en,2013-04-30 00:00:00
337,57,1413,ar,2013-04-30 00:00:00
338,57,1529,fr,2013-04-30 00:00:00
339,57,1652,th,2013-04-30 00:00:00
340,57,1782,he,2013-04-30 00:00:00
341,57,1903,zh-cht,2013-04-30 00:00:00
342,58,702,en,2013-04-30 00:00:00
343,58,1414,ar,2013-04-30 00:00:00
344,58,1530,fr,2013-04-30 00:00:00
345,58,1653,th,2013-04-30 00:00:00
346,58,1783,he,2013-04-30 00:00:00
347,58,1904,zh-cht,2013-04-30 00:00:00
348,59,744,en,2013-04-30 00:00:00
349,59,1417,ar,2013-04-30 00:00:00
350,59,1533,fr,2013-04-30 00:00:00
351,59,1656,th,2013-04-30 00:00:00
352,59,1786,he,2013-04-30 00:00:00
353,59,1907,zh-cht,2013-04-30 00:00:00
354,60,745,en,2013-04-30 00:00:00
355,60,1418,ar,2013-04-30 00:00:00
356,60,1534,fr,2013-04-30 00:00:00
357,60,1657,th,2013-04-30 00:00:00
358,60,1787,he,2013-04-30 00:00:00
359,60,1908,zh-cht,2013-04-30 00:00:00
360,61,746,en,2013-04-30 00:00:00
361,61,1419,ar,2013-04-30 00:00:00
362,61,1535,fr,2013-04-30 00:00:00
363,61,1658,th,2013-04-30 00:00:00
364,61,1788,he,2013-04-30 00:00:00
365,61,1909,zh-cht,2013-04-30 00:00:00
366,62,847,en,2013-04-30 00:00:00
367,62,1420,ar,2013-04-30 00:00:00
368,62,1536,fr,2013-04-30 00:00:00
369,62,1659,th,2013-04-30 00:00:00
370,62,1789,he,2013-04-30 00:00:00
371,62,1910,zh-cht,2013-04-30 00:00:00
372,63,848,en,2013-04-30 00:00:00
373,63,1421,ar,2013-04-30 00:00:00
374,63,1537,fr,2013-04-30 00:00:00
375,63,1660,th,2013-04-30 00:00:00
376,63,1790,he,2013-04-30 00:00:00
377,63,1911,zh-cht,2013-04-30 00:00:00
378,64,849,en,2013-04-30 00:00:00
379,64,1422,ar,2013-04-30 00:00:00
380,64,1538,fr,2013-04-30 00:00:00
381,64,1661,th,2013-04-30 00:00:00
382,64,1791,he,2013-04-30 00:00:00
383,64,1912,zh-cht,2013-04-30 00:00:00
